long_province,long_district,long_ward,ward_level
Thành phố Hà Nội,Quận Ba Đình,Phường Phúc Xá,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Trúc Bạch,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Liễu Giai,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Nguyễn Trung Trực,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Quán Thánh,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Hà,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Đội Cấn,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Giảng Võ,Phường
Thành phố Hà Nội,Quận Ba Đình,Phường Thành Công,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phúc Tân,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Đồng Xuân,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Mã,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Buồm,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Đào,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bồ,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Lý Thái Tổ,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bạc,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Gai,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Chương Dương,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Trống,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bông,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Trần Hưng Đạo,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phan Chu Trinh,Phường
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bài,Phường
Thành phố Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Phường
Thành phố Hà Nội,Quận Tây Hồ,Phường Nhật Tân,Phường
Thành phố Hà Nội,Quận Tây Hồ,Phường Tứ Liên,Phường
Thành phố Hà Nội,Quận Tây Hồ,Phường Quảng An,Phường
Thành phố Hà Nội,Quận Tây Hồ,Phường Xuân La,Phường
Thành phố Hà Nội,Quận Tây Hồ,Phường Yên Phụ,Phường
Thành phố Hà Nội,Quận Tây Hồ,Phường Bưởi,Phường
Thành phố Hà Nội,Quận Tây Hồ,Phường Thụy Khuê,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Thượng Thanh,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Thụy,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Giang Biên,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Đức Giang,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Việt Hưng,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Gia Thụy,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Lâm,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Phúc Lợi,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Bồ Đề,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Sài Đồng,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Long Biên,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Thạch Bàn,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Phúc Đồng,Phường
Thành phố Hà Nội,Quận Long Biên,Phường Cự Khối,Phường
Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Phường
Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Tân,Phường
Thành phố Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,Phường
Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Phường
Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Phường
Thành phố Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,Phường
Thành phố Hà Nội,Quận Cầu Giấy,Phường Yên Hoà,Phường
Thành phố Hà Nội,Quận Cầu Giấy,Phường Trung Hoà,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Cát Linh,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Văn Miếu,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Quốc Tử Giám,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Láng Thượng,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Văn Chương,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Hàng Bột,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Láng Hạ,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Khâm Thiên,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Thổ Quan,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Nam Đồng,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Trung Phụng,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Quang Trung,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Trung Liệt,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Phương Liên,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Thịnh Quang,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Trung Tự,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Kim Liên,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Phương Mai,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Ngã Tư Sở,Phường
Thành phố Hà Nội,Quận Đống Đa,Phường Khương Thượng,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Nguyễn Du,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bạch Đằng,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Phạm Đình Hổ,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Lê Đại Hành,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Đồng Nhân,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Phố Huế,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Đống Mác,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Thanh Lương,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Thanh Nhàn,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Cầu Dền,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bách Khoa,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Đồng Tâm,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Vĩnh Tuy,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bạch Mai,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Quỳnh Mai,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Quỳnh Lôi,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Minh Khai,Phường
Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Trương Định,Phường
