district,province,level,level_english,district_long,district_english,district_long_english,province_english
A Lưới,Thừa Thiên Huế,,,A Lưới,A Luoi,A Luoi,Thua Thien Hue
An Biên,Kiên Giang,,,An Biên,An Bien,An Bien,Kien Giang
An Dương,Hải Phòng,,,An Dương,An Duong,An Duong,Hai Phong
An Khê,Gia Lai,Thị xã,Town,Thị xã An Khê,An Khe,An Khe Town,Gia Lai
An Lão,Hải Phòng,,,An Lão,An Lao,An Lao,Hai Phong
An Lão,Bình Định,,,An Lão,An Lao,An Lao,Binh Dinh
An Minh,Kiên Giang,,,An Minh,An Minh,An Minh,Kien Giang
An Nhơn,Bình Định,Thị xã,Town,Thị xã An Nhơn,An Nhon,An Nhon Town,Binh Dinh
An Phú,An Giang,,,An Phú,An Phu,An Phu,An Giang
Ân Thi,Hưng Yên,,,Ân Thi,An Thi,An Thi,Hung Yen
Anh Sơn,Nghệ An,,,Anh Sơn,Anh Son,Anh Son,Nghe An
Ayun Pa,Gia Lai,Thị xã,Town,Thị xã Ayun Pa,Ayun Pa,Ayun Pa Town,Gia Lai
Ba Bể,Bắc Kạn,,,Ba Bể,Ba Be,Ba Be,Bac Kan
Ba Chẽ,Quảng Ninh,,,Ba Chẽ,Ba Che,Ba Che,Quang Ninh
Ba Đình,Hà Nội,,,Ba Đình,Ba Dinh,Ba Dinh,Ha Noi
Ba Đồn,Quảng Bình,Thị xã,Town,Thị xã Ba Đồn,Ba Don,Ba Don Town,Quang Binh
Bà Rịa,Bà Rịa - Vũng Tàu,Thành phố,City,Thành phố Bà Rịa,Ba Ria,Ba Ria City,Ba Ria - Vung Tau
Bá Thước,Thanh Hóa,,,Bá Thước,Ba Thuoc,Ba Thuoc,Thanh Hoa
Ba Tơ,Quảng Ngãi,,,Ba Tơ,Ba To,Ba To,Quang Ngai
Ba Tri,Bến Tre,,,Ba Tri,Ba Tri,Ba Tri,Ben Tre
Ba Vì,Hà Nội,,,Ba Vì,Ba Vi,Ba Vi,Ha Noi
Bác Ái,Ninh Thuận,,,Bác Ái,Bac Ai,Bac Ai,Ninh Thuan
Bắc Bình,Bình Thuận,,,Bắc Bình,Bac Binh,Bac Binh,Binh Thuan
Bắc Giang,Bắc Giang,Thành phố,City,Thành phố Bắc Giang,Bac Giang,Bac Giang City,Bac Giang
