province,district,ward,long_province,long_district,long_ward,short_district,short_ward,province_english,district_english,ward_english,long_province_english,long_district_english,long_ward_english,short_district_english,short_ward_english,district_level,ward_level,district_level_english,ward_level_english
Hà Nội,Ba Đình,Phúc Xá,Thành phố Hà Nội,Quận Ba Đình,Phường Phúc Xá,Ba Đình,Phúc Xá,Ha Noi,Ba Dinh,Phuc Xa,Ha Noi City,Ba Dinh District,Phuc Xa Ward,Ba Dinh,Phuc Xa,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Trúc Bạch,Thành phố Hà Nội,Quận Ba Đình,Phường Trúc Bạch,Ba Đình,Trúc Bạch,Ha Noi,Ba Dinh,Truc Bach,Ha Noi City,Ba Dinh District,Truc Bach Ward,Ba Dinh,Truc Bach,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Vĩnh Phúc,Thành phố Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,Ba Đình,Vĩnh Phúc,Ha Noi,Ba Dinh,Vinh Phuc,Ha Noi City,Ba Dinh District,Vinh Phuc Ward,Ba Dinh,Vinh Phuc,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Cống Vị,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Ba Đình,Cống Vị,Ha Noi,Ba Dinh,Cong Vi,Ha Noi City,Ba Dinh District,Cong Vi Ward,Ba Dinh,Cong Vi,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Liễu Giai,Thành phố Hà Nội,Quận Ba Đình,Phường Liễu Giai,Ba Đình,Liễu Giai,Ha Noi,Ba Dinh,Lieu Giai,Ha Noi City,Ba Dinh District,Lieu Giai Ward,Ba Dinh,Lieu Giai,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Nguyễn Trung Trực,Thành phố Hà Nội,Quận Ba Đình,Phường Nguyễn Trung Trực,Ba Đình,Nguyễn Trung Trực,Ha Noi,Ba Dinh,Nguyen Trung Truc,Ha Noi City,Ba Dinh District,Nguyen Trung Truc Ward,Ba Dinh,Nguyen Trung Truc,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Quán Thánh,Thành phố Hà Nội,Quận Ba Đình,Phường Quán Thánh,Ba Đình,Quán Thánh,Ha Noi,Ba Dinh,Quan Thanh,Ha Noi City,Ba Dinh District,Quan Thanh Ward,Ba Dinh,Quan Thanh,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Ngọc Hà,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Hà,Ba Đình,Ngọc Hà,Ha Noi,Ba Dinh,Ngoc Ha,Ha Noi City,Ba Dinh District,Ngoc Ha Ward,Ba Dinh,Ngoc Ha,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Điện Biên,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Ba Đình,Điện Biên,Ha Noi,Ba Dinh,Dien Bien,Ha Noi City,Ba Dinh District,Dien Bien Ward,Ba Dinh,Dien Bien,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Đội Cấn,Thành phố Hà Nội,Quận Ba Đình,Phường Đội Cấn,Ba Đình,Đội Cấn,Ha Noi,Ba Dinh,Doi Can,Ha Noi City,Ba Dinh District,Doi Can Ward,Ba Dinh,Doi Can,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Ngọc Khánh,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,Ba Đình,Ngọc Khánh,Ha Noi,Ba Dinh,Ngoc Khanh,Ha Noi City,Ba Dinh District,Ngoc Khanh Ward,Ba Dinh,Ngoc Khanh,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Kim Mã,Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,Ba Đình,Kim Mã,Ha Noi,Ba Dinh,Kim Ma,Ha Noi City,Ba Dinh District,Kim Ma Ward,Ba Dinh,Kim Ma,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Giảng Võ,Thành phố Hà Nội,Quận Ba Đình,Phường Giảng Võ,Ba Đình,Giảng Võ,Ha Noi,Ba Dinh,Giang Vo,Ha Noi City,Ba Dinh District,Giang Vo Ward,Ba Dinh,Giang Vo,Quận,Phường,District,Ward
Hà Nội,Ba Đình,Thành Công,Thành phố Hà Nội,Quận Ba Đình,Phường Thành Công,Ba Đình,Thành Công,Ha Noi,Ba Dinh,Thanh Cong,Ha Noi City,Ba Dinh District,Thanh Cong Ward,Ba Dinh,Thanh Cong,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Phúc Tân,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phúc Tân,Hoàn Kiếm,Phúc Tân,Ha Noi,Hoan Kiem,Phuc Tan,Ha Noi City,Hoan Kiem District,Phuc Tan Ward,Hoan Kiem,Phuc Tan,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Đồng Xuân,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Đồng Xuân,Hoàn Kiếm,Đồng Xuân,Ha Noi,Hoan Kiem,Dong Xuan,Ha Noi City,Hoan Kiem District,Dong Xuan Ward,Hoan Kiem,Dong Xuan,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Hàng Mã,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Mã,Hoàn Kiếm,Hàng Mã,Ha Noi,Hoan Kiem,Hang Ma,Ha Noi City,Hoan Kiem District,Hang Ma Ward,Hoan Kiem,Hang Ma,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Hàng Buồm,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Buồm,Hoàn Kiếm,Hàng Buồm,Ha Noi,Hoan Kiem,Hang Buom,Ha Noi City,Hoan Kiem District,Hang Buom Ward,Hoan Kiem,Hang Buom,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Hàng Đào,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Đào,Hoàn Kiếm,Hàng Đào,Ha Noi,Hoan Kiem,Hang Dao,Ha Noi City,Hoan Kiem District,Hang Dao Ward,Hoan Kiem,Hang Dao,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Hàng Bồ,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bồ,Hoàn Kiếm,Hàng Bồ,Ha Noi,Hoan Kiem,Hang Bo,Ha Noi City,Hoan Kiem District,Hang Bo Ward,Hoan Kiem,Hang Bo,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Cửa Đông,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,Hoàn Kiếm,Cửa Đông,Ha Noi,Hoan Kiem,Cua Dong,Ha Noi City,Hoan Kiem District,Cua Dong Ward,Hoan Kiem,Cua Dong,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Lý Thái Tổ,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Lý Thái Tổ,Hoàn Kiếm,Lý Thái Tổ,Ha Noi,Hoan Kiem,Ly Thai To,Ha Noi City,Hoan Kiem District,Ly Thai To Ward,Hoan Kiem,Ly Thai To,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Hàng Bạc,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bạc,Hoàn Kiếm,Hàng Bạc,Ha Noi,Hoan Kiem,Hang Bac,Ha Noi City,Hoan Kiem District,Hang Bac Ward,Hoan Kiem,Hang Bac,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Hàng Gai,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Gai,Hoàn Kiếm,Hàng Gai,Ha Noi,Hoan Kiem,Hang Gai,Ha Noi City,Hoan Kiem District,Hang Gai Ward,Hoan Kiem,Hang Gai,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Chương Dương,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Chương Dương,Hoàn Kiếm,Chương Dương,Ha Noi,Hoan Kiem,Chuong Duong,Ha Noi City,Hoan Kiem District,Chuong Duong Ward,Hoan Kiem,Chuong Duong,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Hàng Trống,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Trống,Hoàn Kiếm,Hàng Trống,Ha Noi,Hoan Kiem,Hang Trong,Ha Noi City,Hoan Kiem District,Hang Trong Ward,Hoan Kiem,Hang Trong,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Cửa Nam,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,Hoàn Kiếm,Cửa Nam,Ha Noi,Hoan Kiem,Cua Nam,Ha Noi City,Hoan Kiem District,Cua Nam Ward,Hoan Kiem,Cua Nam,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Hàng Bông,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bông,Hoàn Kiếm,Hàng Bông,Ha Noi,Hoan Kiem,Hang Bong,Ha Noi City,Hoan Kiem District,Hang Bong Ward,Hoan Kiem,Hang Bong,Quận,Phường,District,Ward
